Are you self-employed?,Does your employer provide mental health benefits as part of healthcare coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?",Do you believe your productivity is ever affected by a mental health issue?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Why or why not?,Would you bring up a mental health issue with a potential employer in an interview?,Why or why not?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your age?,What is your gender?,What country do you live in?
0,Not eligible for coverage / N/A,No,No,No,Maybe,Yes,I don't know,No,,,Maybe,,Maybe,,Maybe,"No, I don't think they would",Somewhat open,No,,0,Not applicable to me,Not applicable to me,39,Male,United Kingdom
0,No,Yes,No,No,Maybe,Yes,Yes,No,,,Maybe,"It would depend on the health issue. If there is a health issue that would not immediately affect my job performance, such as diabetes, I would not bring it up during the interview. If it was something more severe, such as narcolepsy, I might bring it up depending on how controlled it was.",No,"While mental health has become a more prominent issue recently, I feel like there is still a lot of stigma surrounding it. At this point, with our culture, I would not bring it up. I hope that within the next 20-30 years that stigma will be gone and it can be brought up safely in an interview.","No, I don't think it would","No, I don't think they would",Somewhat open,No,,1,Rarely,Sometimes,29,male,United States of America
0,No,No,Maybe,No,Maybe,Maybe,I don't know,No,,,Yes,"They would provable need to know, to Judge if I can do my job or not. ",Yes,"Stigma, mainly. ",Maybe,Maybe,Somewhat open,Maybe/Not sure,Yes,1,Not applicable to me,Not applicable to me,38,Male ,United Kingdom
1,,,,,,,,,"Sometimes, if it comes up",Yes,Yes,"old back injury, doesn't cause me many issues but occasionally impacts my ability to work at desk ",Maybe,would not if I was not 100% sure that the disclosure would not affect my application,"Yes, I think it would",Maybe,Neutral,No,,1,Sometimes,Sometimes,43,male,United Kingdom
0,Yes,No,Yes,Maybe,Maybe,No,No,No,,,Maybe,"Depending on the interview stage and whether I required an accommodation, I would",No,I don't know,"Yes, I think it would",Maybe,Somewhat open,"Yes, I experienced",Yes,1,Sometimes,Sometimes,43,Female,United States of America
0,Yes,No,Yes,Yes,Maybe,Yes,No,Yes,,,Yes,If it would potentially affect my ability to do the job or might require special equipment/etc then it would only be fair and honest.,Maybe,It would depend on the field & what I knew of the employer.,"Yes, I think it would",Maybe,Somewhat open,"Yes, I experienced",No,1,Not applicable to me,Often,42,Male,United Kingdom
0,I don't know,No,No,No,Maybe,Yes,Yes,No,,,Yes,I want to gauge their ability to support this issue.,Yes,"I want to gauge their ability to support, understand and empathize with my situation.","Yes, I think it would","No, I don't think they would",Not applicable to me (I do not have a mental illness),No,,0,Not applicable to me,Not applicable to me,30,M,United States of America
0,Yes,No,No,No,Maybe,Yes,I don't know,No,,,No,I feel it's irrelevant.,No,Same reason.,Maybe,Maybe,Somewhat open,"Yes, I observed",Maybe,1,Sometimes,Often,37,female,United States of America
0,I don't know,No,Yes,Yes,Yes,Maybe,No,No,,,Maybe,Makes me a less attractive candidate.,Maybe,"Only if I felt I required accommodation. Even then, reluctantly because it makes me a less attractive candidate.",Maybe,"Yes, they do",Somewhat open,"Yes, I observed",No,1,Rarely,Often,44,Female,United States of America
1,,,,,,,,,"Sometimes, if it comes up",Yes,Yes,"Generally speaking, and this isn't always the case, physical health issues don't carry the same stigma as mental ones.",Maybe,"It really depends on the person, the employer, and how comfortable I felt discussing the issue.",Maybe,"No, I don't think they would",Very open,No,,1,Rarely,Often,30,Male,United States of America
